Nom de la gare;Code UIC;Total Voyageurs + Non voyageurs 2022;Total Voyageurs + Non voyageurs 2021;Total Voyageurs + Non voyageurs 2020;Total Voyageurs + Non voyageurs 2019
Abbaretz;481614;40825;27466;22773;38473
Ablon-sur-Seine;545269;1203692;1594567;660309;1457253
Achères Grand Cormier;386052;177092;209673;126513;221003
Acheux - Franleu;316745;2;0;0;2
Aigrefeuille le Thou;485193;51200;32989;24987;31170
Aigueperse;734129;70599;55143;50677;75954
Aillevillers;185629;5628;5715;8639;7348
Ailly-sur-Somme;313098;167119;141082;131401;168438
Albias;613398;26119;19376;11378;11386
Albigny - Neuville;721266;334939;251269;188123;240974
Allée Royale T13;710913;0;0;0;0
Amplepuis;721035;393599;306500;257831;396420
Andelot-en-Montagne;715102;25960;9982;4698;5782
Angers Maître École;484048;33549;23674;18317;23126
Angerville;543090;151343;130031;75617;183224
Anzeling;191387;1081;1789;1560;1591
Arbanats;582726;51865;50805;46502;58138
Arc-et-Senans;718841;77323;56289;47438;55544
Arcy-sur-Cure;683680;4514;3008;2568;2752
Argenteuil;381848;16033835;14527144;8206484;16219640
Argenton-sur-Creuse;597120;248958;181533;148238;192154
Arles;753657;887836;670183;407461;784438
Arnage;396549;10403;8831;7963;12703
Arrou;394486;11613;9504;7471;8096
Aubazines - Saint-Hilaire;594465;9738;6209;5011;8137
Aubiat;734111;7790;5672;5053;8809
Aubigny-au-Bac;345447;28473;23090;25519;50636
Aubrives;172122;11188;9456;9818;10424
Auch;611749;326457;243249;189485;282088
Auray;476200;1387621;1084849;779322;1109909
Auterive;611384;445175;376961;323167;429473
Auxonne;713347;452762;323215;308332;373690
Avord;576439;53799;39421;28256;35132
Avoudrey;718551;22034;10155;13740;21973
Aytré Plage;437806;13419;9707;7205;11310
Azay-le-Rideau;571638;112458;76788;66667;84578
Azerailles;141408;11158;8498;7448;10951
Babinière;590349;67175;40701;43160;81461
Bagneaux-sur-Loing;684191;24011;28521;13759;29663
Bagnols-sur-Cèze;764571;18495;0;0;0
Balsièges Bourg;111864;26;0;16;12
Bannalec;474189;41701;29217;25645;28103
