Date;Indicateurs;Global;Clients;Non-Clients
2022-01;Ponctualité;39;48;28
2022-02;Prix;47;55;38
2022-03;Prix;51;59;42
2022-03;Innovation;;;
2022-03;Information voyageurs;53;62;42
2022-04;Environnement;65;70;59
2022-05;Ponctualité;43;53;30
2022-05;Prix;51;57;41
2022-05;Information voyageurs;56;67;43
2022-06;Ponctualité;37;44;28
2022-06;Innovation;;;
2022-08;Prix;52;56;46
2022-08;Information voyageurs;50;56;41
2022-08;Environnement;60;64;54
2022-10;Innovation;60;63;55
2022-11;Opinion globale;59;66;50
2022-11;Innovation;60;63;56
2023-01;Opinion globale;47;55;36
2023-01;Prix;42;50;34
2023-01;Environnement;60;65;52
2023-03;Opinion globale;48;53;41
2023-03;Prix;42;47;36
2023-04;Prix;46;50;39
2023-05;Ponctualité;38;45;28
2023-06;Innovation;57;61;55
2023-06;Environnement;65;68;60
2023-07;Environnement;66;71;59
2023-08;Opinion globale;56;62;48
2023-08;Prix;46;53;34
2023-08;Environnement;67;71;59
2022-01;Opinion globale;55;64;45
2022-03;Ponctualité;41;50;31
2022-03;Environnement;64;70;56
2022-04;Opinion globale;59;67;50
2022-05;Innovation;;;
2022-05;Environnement;64;71;55
2022-06;Environnement;61;64;56
2022-07;Environnement;60;64;54
2022-08;Ponctualité;36;43;26
2022-08;Innovation;54;59;47
2022-09;Ponctualité;39;48;28
2022-09;Environnement;62;68;56
2022-10;Ponctualité;38;44;30
2022-11;Prix;48;52;43
2023-03;Ponctualité;35;40;28
2023-06;Prix;45;50;37
2023-07;Innovation;60;66;51
2023-08;Ponctualité;41;47;31
2022-01;Information voyageurs;54;62;44
2022-01;Environnement;59;66;51
2022-02;Ponctualité;39;48;28
2022-04;Ponctualité;43;52;34
2022-04;Prix;54;63;43
2022-06;Information voyageurs;49;57;38
2022-07;Innovation;54;59;47
2022-07;Information voyageurs;52;57;43
2022-08;Opinion globale;59;65;50
2022-09;Innovation;59;66;51
2022-10;Prix;46;48;43
2022-10;Information voyageurs;51;56;42
2022-10;Environnement;61;66;55
2022-12;Opinion globale;51;60;36
2022-12;Prix;45;51;36
2022-12;Information voyageurs;47;56;35
2023-01;Ponctualité;32;40;21
2023-01;Information voyageurs;46;56;34
2023-02;Opinion globale;52;56;44
2023-02;Ponctualité;37;42;27
2023-02;Environnement;60;64;55
2023-03;Innovation;52;55;48
2023-07;Ponctualité;37;44;28
2023-07;Prix;47;51;39
2023-07;Information voyageurs;53;63;39
2022-01;Prix;52;61;43
2022-01;Innovation;;;
2022-02;Opinion globale;60;66;54
2022-02;Innovation;;;
2022-02;Information voyageurs;51;60;41
2022-04;Information voyageurs;55;65;44
2022-06;Opinion globale;56;63;50
2022-06;Prix;49;53;42
2022-09;Opinion globale;56;64;49
2022-10;Opinion globale;59;62;54
2022-11;Ponctualité;41;47;31
2022-11;Information voyageurs;54;62;44
2022-12;Ponctualité;35;41;25
2023-02;Innovation;55;59;50
2023-02;Information voyageurs;48;52;42
2023-03;Information voyageurs;49;53;41
2023-03;Environnement;59;64;51
2023-04;Opinion globale;56;61;48
2023-04;Ponctualité;37;43;26
2023-04;Innovation;56;61;53
2023-05;Opinion globale;54;59;45
2023-05;Prix;47;52;40
2023-05;Innovation;55;57;50
2023-06;Opinion globale;53;59;46
2023-06;Ponctualité;37;44;28
2023-08;Information voyageurs;55;61;45
2022-02;Environnement;61;68;53
2022-03;Opinion globale;60;65;53
2022-04;Innovation;;;
2022-05;Opinion globale;62;69;53
2022-07;Opinion globale;57;63;51
2022-07;Ponctualité;36;41;28
2022-07;Prix;49;55;42
2022-09;Prix;49;54;43
2022-09;Information voyageurs;50;61;38
2022-11;Environnement;65;72;56
2022-12;Innovation;53;60;44
2022-12;Environnement;59;64;50
2023-01;Innovation;51;56;45
2023-02;Prix;48;54;39
2023-04;Information voyageurs;53;59;45
2023-04;Environnement;66;68;62
2023-05;Information voyageurs;52;60;42
2023-05;Environnement;63;67;56
2023-06;Information voyageurs;50;55;41
2023-07;Opinion globale;59;65;50
2023-08;Innovation;62;66;55
